😀	grinning face	1f600
😃	grinning face with big eyes	1f603
😄	grinning face with smiling eyes	1f604
😁	beaming face with smiling eyes	1f601
😆	grinning squinting face	1f606
😅	grinning face with sweat	1f605
🤣	rolling on the floor laughing	1f923
😂	face with tears of joy	1f602
🙂	slightly smiling face	1f642
🙃	upside-down face	1f643
🫠	melting face	1fae0
😉	winking face	1f609
😊	smiling face with smiling eyes	1f60a
😇	smiling face with halo	1f607
🥰	smiling face with hearts	1f970
😍	smiling face with heart-eyes	1f60d
🤩	star-struck	1f929
😘	face blowing a kiss	1f618
😗	kissing face	1f617
☺️	smiling face	263a-fe0f
😚	kissing face with closed eyes	1f61a
😙	kissing face with smiling eyes	1f619
🥲	smiling face with tear	1f972
😋	face savoring food	1f60b
😛	face with tongue	1f61b
😜	winking face with tongue	1f61c
🤪	zany face	1f92a
😝	squinting face with tongue	1f61d
🤑	money-mouth face	1f911
🤗	smiling face with open hands	1f917
🤭	face with hand over mouth	1f92d
🫢	face with open eyes and hand over mouth	1fae2
🫣	face with peeking eye	1fae3
🤫	shushing face	1f92b
🤔	thinking face	1f914
🫡	saluting face	1fae1
🤐	zipper-mouth face	1f910
🤨	face with raised eyebrow	1f928
😐	neutral face	1f610
😑	expressionless face	1f611
😶	face without mouth	1f636
🫥	dotted line face	1fae5
😶‍🌫️	face in clouds	1f636-200d-1f32b-fe0f
😏	smirking face	1f60f
😒	unamused face	1f612
🙄	face with rolling eyes	1f644
😬	grimacing face	1f62c
😮‍💨	face exhaling	1f62e-200d-1f4a8
🤥	lying face	1f925
🫨	shaking face	1fae8
🙂‍↔️	head shaking horizontally	1f642-200d-2194-fe0f
🙂‍↕️	head shaking vertically	1f642-200d-2195-fe0f
😌	relieved face	1f60c
😔	pensive face	1f614
😪	sleepy face	1f62a
🤤	drooling face	1f924
😴	sleeping face	1f634
🫩	face with bags under eyes	1fae9
😷	face with medical mask	1f637
🤒	face with thermometer	1f912
🤕	face with head-bandage	1f915
🤢	nauseated face	1f922
🤮	face vomiting	1f92e
🤧	sneezing face	1f927
🥵	hot face	1f975
🥶	cold face	1f976
🥴	woozy face	1f974
😵	face with crossed-out eyes	1f635
😵‍💫	face with spiral eyes	1f635-200d-1f4ab
🤯	exploding head	1f92f
🤠	cowboy hat face	1f920
🥳	partying face	1f973
🥸	disguised face	1f978
😎	smiling face with sunglasses	1f60e
🤓	nerd face	1f913
🧐	face with monocle	1f9d0
😕	confused face	1f615
🫤	face with diagonal mouth	1fae4
😟	worried face	1f61f
🙁	slightly frowning face	1f641
☹️	frowning face	2639-fe0f
😮	face with open mouth	1f62e
😯	hushed face	1f62f
😲	astonished face	1f632
😳	flushed face	1f633
🫪	distorted face	1faea
🥺	pleading face	1f97a
🥹	face holding back tears	1f979
😦	frowning face with open mouth	1f626
😧	anguished face	1f627
😨	fearful face	1f628
😰	anxious face with sweat	1f630
😥	sad but relieved face	1f625
😢	crying face	1f622
😭	loudly crying face	1f62d
😱	face screaming in fear	1f631
😖	confounded face	1f616
😣	persevering face	1f623
😞	disappointed face	1f61e
😓	downcast face with sweat	1f613
😩	weary face	1f629
😫	tired face	1f62b
🥱	yawning face	1f971
😤	face with steam from nose	1f624
😡	enraged face	1f621
😠	angry face	1f620
🤬	face with symbols on mouth	1f92c
😈	smiling face with horns	1f608
👿	angry face with horns	1f47f
💀	skull	1f480
☠️	skull and crossbones	2620-fe0f
💩	pile of poo	1f4a9
🤡	clown face	1f921
👹	ogre	1f479
👺	goblin	1f47a
👻	ghost	1f47b
👽	alien	1f47d
👾	alien monster	1f47e
🤖	robot	1f916
😺	grinning cat	1f63a
😸	grinning cat with smiling eyes	1f638
😹	cat with tears of joy	1f639
😻	smiling cat with heart-eyes	1f63b
😼	cat with wry smile	1f63c
😽	kissing cat	1f63d
🙀	weary cat	1f640
😿	crying cat	1f63f
😾	pouting cat	1f63e
🙈	see-no-evil monkey	1f648
🙉	hear-no-evil monkey	1f649
🙊	speak-no-evil monkey	1f64a
💌	love letter	1f48c
💘	heart with arrow	1f498
💝	heart with ribbon	1f49d
💖	sparkling heart	1f496
💗	growing heart	1f497
💓	beating heart	1f493
💞	revolving hearts	1f49e
💕	two hearts	1f495
💟	heart decoration	1f49f
❣️	heart exclamation	2763-fe0f
💔	broken heart	1f494
❤️‍🔥	heart on fire	2764-fe0f-200d-1f525
❤️‍🩹	mending heart	2764-fe0f-200d-1fa79
❤️	red heart	2764-fe0f
🩷	pink heart	1fa77
🧡	orange heart	1f9e1
💛	yellow heart	1f49b
💚	green heart	1f49a
💙	blue heart	1f499
🩵	light blue heart	1fa75
💜	purple heart	1f49c
🤎	brown heart	1f90e
🖤	black heart	1f5a4
🩶	grey heart	1fa76
🤍	white heart	1f90d
💋	kiss mark	1f48b
💯	hundred points	1f4af
💢	anger symbol	1f4a2
🫯	fight cloud	1faef
💥	collision	1f4a5
💫	dizzy	1f4ab
💦	sweat droplets	1f4a6
💨	dashing away	1f4a8
🕳️	hole	1f573-fe0f
💬	speech balloon	1f4ac
👁️‍🗨️	eye in speech bubble	1f441-fe0f-200d-1f5e8-fe0f
🗨️	left speech bubble	1f5e8-fe0f
🗯️	right anger bubble	1f5ef-fe0f
💭	thought balloon	1f4ad
💤	ZZZ	1f4a4
👋	waving hand	1f44b
👋🏻	waving hand: light skin tone	1f44b-1f3fb
👋🏼	waving hand: medium-light skin tone	1f44b-1f3fc
👋🏽	waving hand: medium skin tone	1f44b-1f3fd
👋🏾	waving hand: medium-dark skin tone	1f44b-1f3fe
👋🏿	waving hand: dark skin tone	1f44b-1f3ff
🤚	raised back of hand	1f91a
🤚🏻	raised back of hand: light skin tone	1f91a-1f3fb
🤚🏼	raised back of hand: medium-light skin tone	1f91a-1f3fc
🤚🏽	raised back of hand: medium skin tone	1f91a-1f3fd
🤚🏾	raised back of hand: medium-dark skin tone	1f91a-1f3fe
🤚🏿	raised back of hand: dark skin tone	1f91a-1f3ff
🖐️	hand with fingers splayed	1f590-fe0f
🖐🏻	hand with fingers splayed: light skin tone	1f590-1f3fb
🖐🏼	hand with fingers splayed: medium-light skin tone	1f590-1f3fc
🖐🏽	hand with fingers splayed: medium skin tone	1f590-1f3fd
🖐🏾	hand with fingers splayed: medium-dark skin tone	1f590-1f3fe
🖐🏿	hand with fingers splayed: dark skin tone	1f590-1f3ff
✋	raised hand	270b
✋🏻	raised hand: light skin tone	270b-1f3fb
✋🏼	raised hand: medium-light skin tone	270b-1f3fc
✋🏽	raised hand: medium skin tone	270b-1f3fd
✋🏾	raised hand: medium-dark skin tone	270b-1f3fe
✋🏿	raised hand: dark skin tone	270b-1f3ff
🖖	vulcan salute	1f596
🖖🏻	vulcan salute: light skin tone	1f596-1f3fb
🖖🏼	vulcan salute: medium-light skin tone	1f596-1f3fc
🖖🏽	vulcan salute: medium skin tone	1f596-1f3fd
🖖🏾	vulcan salute: medium-dark skin tone	1f596-1f3fe
🖖🏿	vulcan salute: dark skin tone	1f596-1f3ff
🫱	rightwards hand	1faf1
🫱🏻	rightwards hand: light skin tone	1faf1-1f3fb
🫱🏼	rightwards hand: medium-light skin tone	1faf1-1f3fc
🫱🏽	rightwards hand: medium skin tone	1faf1-1f3fd
🫱🏾	rightwards hand: medium-dark skin tone	1faf1-1f3fe
🫱🏿	rightwards hand: dark skin tone	1faf1-1f3ff
🫲	leftwards hand	1faf2
🫲🏻	leftwards hand: light skin tone	1faf2-1f3fb
🫲🏼	leftwards hand: medium-light skin tone	1faf2-1f3fc
🫲🏽	leftwards hand: medium skin tone	1faf2-1f3fd
🫲🏾	leftwards hand: medium-dark skin tone	1faf2-1f3fe
🫲🏿	leftwards hand: dark skin tone	1faf2-1f3ff
🫳	palm down hand	1faf3
🫳🏻	palm down hand: light skin tone	1faf3-1f3fb
🫳🏼	palm down hand: medium-light skin tone	1faf3-1f3fc
🫳🏽	palm down hand: medium skin tone	1faf3-1f3fd
🫳🏾	palm down hand: medium-dark skin tone	1faf3-1f3fe
🫳🏿	palm down hand: dark skin tone	1faf3-1f3ff
🫴	palm up hand	1faf4
🫴🏻	palm up hand: light skin tone	1faf4-1f3fb
🫴🏼	palm up hand: medium-light skin tone	1faf4-1f3fc
🫴🏽	palm up hand: medium skin tone	1faf4-1f3fd
🫴🏾	palm up hand: medium-dark skin tone	1faf4-1f3fe
🫴🏿	palm up hand: dark skin tone	1faf4-1f3ff
🫷	leftwards pushing hand	1faf7
🫷🏻	leftwards pushing hand: light skin tone	1faf7-1f3fb
🫷🏼	leftwards pushing hand: medium-light skin tone	1faf7-1f3fc
🫷🏽	leftwards pushing hand: medium skin tone	1faf7-1f3fd
🫷🏾	leftwards pushing hand: medium-dark skin tone	1faf7-1f3fe
🫷🏿	leftwards pushing hand: dark skin tone	1faf7-1f3ff
🫸	rightwards pushing hand	1faf8
🫸🏻	rightwards pushing hand: light skin tone	1faf8-1f3fb
🫸🏼	rightwards pushing hand: medium-light skin tone	1faf8-1f3fc
🫸🏽	rightwards pushing hand: medium skin tone	1faf8-1f3fd
🫸🏾	rightwards pushing hand: medium-dark skin tone	1faf8-1f3fe
🫸🏿	rightwards pushing hand: dark skin tone	1faf8-1f3ff
👌	OK hand	1f44c
👌🏻	OK hand: light skin tone	1f44c-1f3fb
👌🏼	OK hand: medium-light skin tone	1f44c-1f3fc
👌🏽	OK hand: medium skin tone	1f44c-1f3fd
👌🏾	OK hand: medium-dark skin tone	1f44c-1f3fe
👌🏿	OK hand: dark skin tone	1f44c-1f3ff
🤌	pinched fingers	1f90c
🤌🏻	pinched fingers: light skin tone	1f90c-1f3fb
🤌🏼	pinched fingers: medium-light skin tone	1f90c-1f3fc
🤌🏽	pinched fingers: medium skin tone	1f90c-1f3fd
🤌🏾	pinched fingers: medium-dark skin tone	1f90c-1f3fe
